"price","date"
417.7,1971-10-01
406.4,1971-11-01
410.7,1971-12-01
418.9,1972-01-01
426.9,1972-02-01
442.2,1972-03-01
433.5,1972-04-01
423.3,1972-05-01
412.4,1972-06-01
423.2,1972-07-01
427,1972-08-01
434.2,1972-09-01
428.7,1972-10-01
427.8,1972-11-01
435.7,1972-12-01
474.7,1973-01-01
511.8,1973-02-01
610.2,1973-03-01
638.8,1973-04-01
613,1973-05-01
678.4,1973-06-01
795.4,1973-07-01
843.5,1973-08-01
799.6,1973-09-01
849.6,1973-10-01
950.4,1973-11-01
959.9,1973-12-01
913.2,1974-01-01
1006.5,1974-02-01
1172,1974-03-01
1267.7,1974-04-01
1190.6,1974-05-01
1020.1,1974-06-01
802.8,1974-07-01
767.9,1974-08-01
630.1,1974-09-01
599.2,1974-10-01
608.2,1974-11-01
553.2,1974-12-01
512.4,1975-01-01
528.7,1975-02-01
554.5,1975-03-01
560.5,1975-04-01
539.7,1975-05-01
522.5,1975-06-01
559.3,1975-07-01
603.7,1975-08-01
580.2,1975-09-01
573.1,1975-10-01
575.1,1975-11-01
568.9,1975-12-01
587.8,1976-01-01
601.6,1976-02-01
683.7,1976-03-01
817.9,1976-04-01
836,1976-05-01
878,1976-06-01
922.1,1976-07-01
862.2,1976-08-01
844.9,1976-09-01
784.8,1976-10-01
780.3,1976-11-01
767.3,1976-12-01
814.8,1977-01-01
833.4,1977-02-01
881,1977-03-01
830.4,1977-04-01
797.9,1977-05-01
763.1,1977-06-01
724.4,1977-07-01
665.8,1977-08-01
685.6,1977-09-01
682.9,1977-10-01
650.2,1977-11-01
679.1,1977-12-01
651.2,1978-01-01
627,1978-02-01
657.6,1978-03-01
694.4,1978-04-01
716,1978-05-01
725,1978-06-01
705.4,1978-07-01
734.6,1978-08-01
735.8,1978-09-01
750.1,1978-10-01
749.3,1978-11-01
771.7,1978-12-01
827.1,1979-01-01
969.7,1979-02-01
1005.5,1979-03-01
1012.3,1979-04-01
935.3,1979-05-01
888.8,1979-06-01
802.4,1979-07-01
883.2,1979-08-01
953.6,1979-09-01
967.6,1979-10-01
978.3,1979-11-01
1005.6,1979-12-01
1147.9,1980-01-01
1220.2,1980-02-01
1045.5,1980-03-01
937.1,1980-04-01
888.9,1980-05-01
858.5,1980-06-01
916.7,1980-07-01
877.9,1980-08-01
857.6,1980-09-01
846.2,1980-10-01
839.5,1980-11-01
800.4,1980-12-01
777.4,1981-01-01
784.9,1981-02-01
814.3,1981-03-01
837,1981-04-01
834,1981-05-01
861,1981-06-01
897.3,1981-07-01
981.4,1981-08-01
942.2,1981-09-01
904.9,1981-10-01
867.7,1981-11-01
869.3,1981-12-01
853.6,1982-01-01
863.8,1982-02-01
836.3,1982-03-01
858.5,1982-04-01
843.6,1982-05-01
740.4,1982-06-01
829.9,1982-07-01
841,1982-08-01
832.7,1982-09-01
861.4,1982-10-01
884.3,1982-11-01
911.4,1982-12-01
997.3,1983-01-01
1074.3,1983-02-01
1071.9,1983-03-01
1090,1983-04-01
1122.8,1983-05-01
1098.6,1983-06-01
1115.6,1983-07-01
1091,1983-08-01
1041,1983-09-01
958.4,1983-10-01
940.4,1983-11-01
986.7,1983-12-01
978,1984-01-01
991.5,1984-02-01
1030.9,1984-03-01
1078.1,1984-04-01
1022.3,1984-05-01
991.2,1984-06-01
1007.9,1984-07-01
1018.2,1984-08-01
1029.3,1984-09-01
1043.5,1984-10-01
1085.1,1984-11-01
1113.5,1984-12-01
1205.5,1985-01-01
1269.8,1985-02-01
1234.7,1985-03-01
1212.7,1985-04-01
1225.3,1985-05-01
1118,1985-06-01
1067.5,1985-07-01
1025.7,1985-08-01
1001.4,1985-09-01
973.8,1985-10-01
950.9,1985-11-01
962.4,1985-12-01
995.4,1986-01-01
982.8,1986-02-01
984.4,1986-03-01
957.3,1986-04-01
932.3,1986-05-01
937,1986-06-01
891.7,1986-07-01
876.5,1986-08-01
916.1,1986-09-01
922.9,1986-10-01
915,1986-11-01
927.6,1986-12-01
893.8,1987-01-01
902.7,1987-02-01
920.1,1987-03-01
909.3,1987-04-01
911.9,1987-05-01
964.6,1987-06-01
1052.8,1987-07-01
1097.5,1987-08-01
1100.7,1987-09-01
1182.7,1987-10-01
1419.9,1987-11-01
1566.6,1987-12-01
1476.8,1988-01-01
1324.3,1988-02-01
1286.3,1988-03-01
1216.5,1988-04-01
1307.1,1988-05-01
1428.8,1988-06-01
1297.5,1988-07-01
1296.2,1988-08-01
1445.7,1988-09-01
1689.4,1988-10-01
1826.2,1988-11-01
1915.3,1988-12-01
1912.6,1989-01-01
1765,1989-02-01
1904.1,1989-03-01
1832.3,1989-04-01
1679.1,1989-05-01
1638.8,1989-06-01
1539.1,1989-07-01
1731.5,1989-08-01
1834.9,1989-09-01
1801.8,1989-10-01
1647.3,1989-11-01
1514.1,1989-12-01
1432.7,1990-01-01
1390.9,1990-02-01
1615.7,1990-03-01
1639.6,1990-04-01
1633.7,1990-05-01
1510.5,1990-06-01
1529.6,1990-07-01
1554.4,1990-08-01
1611.6,1990-09-01
1409.6,1990-10-01
1315.9,1990-11-01
1292.7,1990-12-01
1265.1,1991-01-01
1246.5,1991-02-01
1322.5,1991-03-01
1412.3,1991-04-01
1336.8,1991-05-01
1344.8,1991-06-01
1353.8,1991-07-01
1325.6,1991-08-01
1346.1,1991-09-01
1371.2,1991-10-01
1336.8,1991-11-01
1216.4,1991-12-01
1182.2,1992-01-01
1240.5,1992-02-01
1291.7,1992-03-01
1260.9,1992-04-01
1224.6,1992-05-01
1239.1,1992-06-01
1313.8,1992-07-01
1297.2,1992-08-01
1307,1992-09-01
1360.3,1992-10-01
1413.2,1992-11-01
1422.5,1992-12-01
1472.3,1993-01-01
1536.7,1993-02-01
1472.3,1993-03-01
1261.9,1993-04-01
1159,1993-05-01
1228.5,1993-06-01
1287.5,1993-07-01
1305,1993-08-01
1219.7,1993-09-01
1108.7,1993-10-01
1100.3,1993-11-01
1156.4,1993-12-01
1208.4,1994-01-01
1261,1994-02-01
1284,1994-03-01
1268.1,1994-04-01
1430.5,1994-05-01
1549.9,1994-06-01
1589.5,1994-07-01
1560,1994-08-01
1601,1994-09-01
1586.2,1994-10-01
1763.6,1994-11-01
1914.4,1994-12-01
1910.5,1995-01-01
1830.3,1995-02-01
1826.8,1995-03-01
1805.7,1995-04-01
1745.9,1995-05-01
1876.8,1995-06-01
1927.4,1995-07-01
1936.6,1995-08-01
1870.3,1995-09-01
1782.7,1995-10-01
1904.8,1995-11-01
1898.7,1995-12-01
1708.7,1996-01-01
1650.2,1996-02-01
1676.5,1996-03-01
1713.5,1996-04-01
1757.3,1996-05-01
1407.7,1996-06-01
1276.6,1996-07-01
1294.9,1996-08-01
1244.3,1996-09-01
1236.2,1996-10-01
1343.7,1996-11-01
1366.9,1996-12-01
1469.2,1997-01-01
1480.3,1997-02-01
1506.4,1997-03-01
1466.8,1997-04-01
1540,1997-05-01
1588,1997-06-01
1466.7,1997-07-01
1403.6,1997-08-01
1315.4,1997-09-01
1256.4,1997-10-01
1135,1997-11-01
1061.5,1997-12-01
1032.1,1998-01-01
1014.4,1998-02-01
1051.4,1998-03-01
1078.1,1998-04-01
1057.8,1998-05-01
1005.6,1998-06-01
1004.2,1998-07-01
991.8,1998-08-01
979.1,1998-09-01
935.6,1998-10-01
946.9,1998-11-01
881.9,1998-12-01
866.7,1999-01-01
866.5,1999-02-01
849.6,1999-03-01
910.2,1999-04-01
935.6,1999-05-01
891.3,1999-06-01
1041.2,1999-07-01
1025.5,1999-08-01
1077.3,1999-09-01
1040.1,1999-10-01
1065.3,1999-11-01
1093.7,1999-12-01
1124.2,2000-01-01
1124.7,2000-02-01
1100.6,2000-03-01
1059.8,2000-04-01
1183.3,2000-05-01
1161.6,2000-06-01
1192.3,2000-07-01
1245.1,2000-08-01
1365.3,2000-09-01
1308.1,2000-10-01
1258.9,2000-11-01
1264.4,2000-12-01
1209.8,2001-01-01
1214.9,2001-02-01
1202.8,2001-03-01
1159.3,2001-04-01
1178.9,2001-05-01
1147.5,2001-06-01
1078.5,2001-07-01
1019,2001-08-01
974.4,2001-09-01
948.5,2001-10-01
994.2,2001-11-01
1020.8,2001-12-01
1049.9,2002-01-01
1097.4,2002-02-01
1127.9,2002-03-01
1101.4,2002-04-01
1092.9,2002-05-01
1110,2002-06-01
1022.2,2002-07-01
962.4,2002-08-01
950,2002-09-01
952.5,2002-10-01
1006.4,2002-11-01
1005.7,2002-12-01
1018.8,2003-01-01
1046.7,2003-02-01
1047.4,2003-03-01
1007.9,2003-04-01
1015.5,2003-05-01
1015.4,2003-06-01
1054,2003-07-01
1103.4,2003-08-01
1109.1,2003-09-01
1143.9,2003-10-01
1216,2003-11-01
1258.5,2003-12-01
1329,2004-01-01
1477.5,2004-02-01
1647.3,2004-03-01
1635.6,2004-04-01
1529.5,2004-05-01
1469.7,2004-06-01
1523.4,2004-07-01
1563.1,2004-08-01
1614.9,2004-09-01
1666.7,2004-10-01
1678.5,2004-11-01
1631.1,2004-12-01
1687.8,2005-01-01
1723.8,2005-02-01
1773,2005-03-01
1790,2005-04-01
1751.7,2005-05-01
1938,2005-06-01
2063.8,2005-07-01
2115.8,2005-08-01
2133.3,2005-09-01
2301.1,2005-10-01
2461.6,2005-11-01
2621.7,2005-12-01
2677.7,2006-01-01
2851.6,2006-02-01
2927.3,2006-03-01
3610.9,2006-04-01
4306,2006-05-01
3897.7,2006-06-01
4170.5,2006-07-01
4059.8,2006-08-01
4032.9,2006-09-01
3998.6,2006-10-01
3675.9,2006-11-01
3435.8,2006-12-01
