product_id,name,rating,price,reviews,category,subcategory,weight
25,"FogWorx Extreme High Density Fog Juice Gallon - Long Lasting, High Output, Odorless Water Based Fog Machine Fluid - for…",4.6,14.99,3349,Musical Instruments,Recording Equipment,3349
26,F8,4.8,12.68,3029,CDs & Vinyl,Hard Rock & Metal,3029
27,Tombstone,4.8,3.74,19868,Movies & TV,DVD,19868
28,Orzly Carry Case Compatible with Nintendo Switch - Black Protective Hard Portable Travel Carry Case Shell Pouch for…,4.7,12.91,30109,Electronics,Video Game Consoles & Accessories,30109
29,"Over Door Hook White - 4Pack Soft Rubber Surface Design to Prevent Article Scratches,Single Door Hook for Bathroom…",4.6,9.49,1495,Industrial & Scientific,Industrial Hardware,1495
30,"FRAM Fresh Breeze Cabin Air Filter with Arm & Hammer Baking Soda, CF10285 for Toyota Vehicles",4.7,13.81,5545,Automotive,Replacement Parts,5545
31,"LuxSpa Bath Bombs Gift Set - The Best Ultra Bubble Fizzies with Natural Dead Sea Salt Cocoa and Shea Essential Oils, 6 x…",4.4,12.99,2159,Health & Household,Bath & Bathing Accessories,2159
32,Elle,4.2,10.00,699,Magazine Subscriptions,Fashion & Style,699
33,"Paint Brushes Set,Paintbrushes Paint Brushes for Oil Watercolor Canvas，Adults/Kids Arts Crafts Supplies (Blue)",4.7,5.99,7378,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies",7378
34,Photographs & Memories: His Greatest Hits,4.8,1.99,1084,CDs & Vinyl,Folk,1084
35,HydroEye Softgels - Dry Eye Relief - 120 Count,4.5,39.95,2198,Health & Household,Vision Care,2198
36,"No Touch Door Opener with Stylus-Function Touchless Keychain Tool for Surfaces, Touchscreens, Handles, Buttons",4.1,4.99,895,Tools & Home Improvement,Power & Hand Tools,895
37,"LED Strip Lights, 65.6ft RGB 5050 LED Lights for Bedroom, Room, Kitchen, Home Decor DIY Color Changing Led Light Strip…",4.3,30.99,915,Musical Instruments,Live Sound & Stage,915
38,The Honest Company Truly Calming Lavender Bubble Bath Tear Free Kids Bubble Bath Naturally Derived Ingredients…,4.7,9.99,8679,Baby,Baby Care,8679
39,"Magnetic Poster Hanger Frame, 8x10 8x12 8x24 Light Wood Wooden Magnet Canvas Artwork Print Dowel Poster Hangers Frames…",4.7,8.50,3329,Home & Kitchen,Wall Décor,3329
40,"AstroAI Digital Tire Inflator with Pressure Gauge, 250 PSI Air Chuck and Compressor Accessories Heavy Duty with Rubber…",4.6,18.23,6346,Automotive,Tools & Equipment,6346
41,"18"" Stretch Film/Wrap 1200ft 500% Stretch Clear Cling Durable Adhering Packing Moving Packaging Heavy Duty Shrink Film…",4.7,14.88,4231,Office Products,"Envelopes, Mailers & Shipping Supplies",4231
42,Tulip ColorShot Instant Fabric Color 3oz. Black,4.1,5.74,1818,"Arts, Crafts & Sewing",Fabric Painting & Dyeing,1818
43,"Dell P2419H 24 Inch LED-Backlit, Anti-Glare, 3H Hard Coating IPS Monitor - (8 ms Response, FHD 1920 x 1080 at 60Hz, 1000…",4.7,152.35,2695,Electronics,Monitors,2695
44,They Both Die at the End,4.6,10.79,2239,Books,"Lesbian, Gay, Bisexual & Transgender Books",2239
45,"Logitech MK270 Wireless Keyboard and Mouse Combo - Keyboard and Mouse Included, 2.4GHz Dropout-Free Connection, Long…",4.5,24.99,23678,Electronics,Accessories & Supplies,23678
46,"Moleskine 18 Month 2020-2021 Weekly Planner, Hard Cover, Large (5"" x 8.25"") Black",4.8,13.95,1360,Books,Calendars,1360
47,"TruSkin Vitamin C Serum for Face with Hyaluronic Acid, Vitamin E, Witch Hazel, 1 fl oz",4.3,19.99,41287,Beauty & Personal Care,Skin Care,41287
48,The Children's Place Boys' Baby and Toddler Uniform Pull on Chino Cargo Pants,4.7,8.48,2892,"Clothing, Shoes & Jewelry",Boys,2892
49,"Kieba Massage Lacrosse Balls for Myofascial Release, Trigger Point Therapy, Muscle Knots, and Yoga Therapy. Set of 2…",4.7,10.95,8160,Health & Household,Wellness & Relaxation,8160
50,"Maybelline Total Temptation Eyebrow Definer Pencil, Blonde, 1 Count",4.5,5.49,33466,Beauty & Personal Care,Makeup,33466
51,"MINGER LED Strip Lights Kit, 32.8ft (2 Rolls of 16.4ft) Color Changing Light Strip with Remote",4.5,27.99,17201,Tools & Home Improvement,Lighting & Ceiling Fans,17201
52,KAZ PC1F Protec Humidifier Tank Cleaner,4.4,4.97,6360,Pet Supplies,Fish & Aquatic Pets,6360
53,"Command Small Utility Hooks, White, 6-Hooks (17002-6ES), Organize your dorm",4.7,7.99,3359,Industrial & Scientific,Industrial Hardware,3359
54,"DEWALT Cutting Wheel, General Purpose Metal Cutting, 4-1/2-Inch, 5-Pack (DW8062B5)",4.8,6.22,4649,Industrial & Scientific,Abrasive & Finishing Products,4649
55,"CO-Z HSS 5PCS Titanium Step Drill Bit Set with Automatic Center Punch, 50 Sizes in 5 High Speed Steel Drill Bits Set for…",4.5,26.99,679,Industrial & Scientific,Cutting Tools,679
56,HP 63 | Ink Cartridge | Black | F6U62AN,4.7,20.89,25521,Office Products,Office Supplies,25521
57,"Aurora - Bright Fancies - 7"" Jellyroll - Unicorn",4.8,6.97,1998,Toys & Games,Stuffed Animals & Toys,1998
58,"LEGO Super Mario Adventures with Mario Starter Course 71360 Building Kit, Interactive Set Featuring Mario, Bowser Jr…",4.8,59.95,2835,Toys & Games,Building & Construction Toys,2835
59,"Flame King YSNPQ-5000T Heavy Duty Propane Torch Weed Burner, Black, Comes with Flint Striker",4.5,47.11,1257,"Patio, Lawn & Garden",Mowers & Outdoor Power Tools,1257
60,dont smile at me [LP][Opaque Red],4.6,17.99,3424,CDs & Vinyl,Rock,3424
61,"Hammermill Printer Paper, 20 lb Copy Plus, 8.5 x 11 - 1 Ream (500 Sheets) - 92 Bright, Made in the USA",4.8,5.00,12351,Office Products,Office Supplies,12351
62,"Govee Fairy Lights, 12 Pack LED Fairy String Lights Battery Operated String Lights Waterproof, 20 LEDs Flexible Firefly…",4.7,11.99,1125,Tools & Home Improvement,Lighting & Ceiling Fans,1125
63,"Briggs & Stratton 2-1/4"" Standard Oil Filter",4.8,8.33,4179,"Patio, Lawn & Garden",Mowers & Outdoor Power Tools,4179
64,"Zenwise Health Digestive Enzymes Plus Prebiotics & Probiotics Supplement, Vegan Formula for Better Digestion & Lactose…",4.4,15.97,21150,Health & Household,Vitamins & Dietary Supplements,21150
65,"i-Blason Ares Case for iPhone 11 6.1 inch (2019 Release), Dual Layer Rugged Clear Bumper Case with Built-in Screen…",4.6,19.99,20758,Cell Phones & Accessories,"Cases, Holsters & Clips",20758
66,"Castrol 06146 GTX 10W-40 Conventional Motor Oil - 1 Quart, (Pack of 6)",4.8,15.27,3318,Automotive,Oils & Fluids,3318
67,Kensun AC/DC Digital Tire Inflator for Car 12V DC and Home 110V AC Rapid Performance Portable Air Compressor Pump for…,4.2,69.66,2274,Tools & Home Improvement,Air Tools,2274
68,"Nooie Baby Monitor, WiFi Pet Camera Indoor, 360-degree Wireless IP Nanny Camera, 1080P Home Security Camera, Motion…",4.3,49.99,5101,Electronics,Security & Surveillance,5101
69,Not My Romeo (The Game Changers Book 1),4.6,1.99,1419,Kindle Store,Whispersync for Voice,1419
70,"BEZGAR 1 Hobbyist Grade 1:12 Scale Remote Control Truck, 4WD High Speed 42 Km/h All Terrains Electric Toy Off Road RC…",4.5,89.99,2145,Toys & Games,Hobbies,2145
71,NFL Chef Hat and Apron Set,4.8,13.99,7051,Sports & Outdoors,Fan Shop,7051
72,C4 Ripped Sport Pre Workout Powder Arctic Snow Cone | NSF Certified for Sport + Sugar Free Preworkout Energy Supplement…,4.5,19.77,2353,Health & Household,Sports Nutrition,2353
73,"Kaito KA500 5-way Powered Solar Power,Dynamo Crank, Wind Up Emergency AM/FM/SW/NOAA Weather Alert Radio with Flashlight…",4.6,49.98,6169,Electronics,Portable Audio & Video,6169
74,MarineLand Penguin Rite-Size Cartridge,4.7,3.50,11622,Pet Supplies,Fish & Aquatic Pets,11622
75,"Utopia Home Premium Non Slip Velvet Hangers - Heavy Duty - Coat Suit Hangers (Black, 30)",4.8,14.99,10632,Industrial & Scientific,Retail Store Fixtures & Equipment,10632
76,"Curve for Men Cologne Spray, Spicy Woody Magnetic Scent for Day or Night, 4.2 oz",4.7,22.99,4059,Beauty & Personal Care,Fragrance,4059
77,"12 Pack Clear Plastic Storage Favor Jars Wide-Mouth Plastic Containers with Lids for Beauty Products (1 Ounce, Clear)",4.7,9.55,1720,"Arts, Crafts & Sewing",Organization & Storage,1720
78,"Feelcare 15.6 Inch 16GB WiFi Digital Picture Frame with FHD 1920x1080 IPS Display,Touch Screen,Send Photos or Small…",4.5,209.99,1472,Electronics,Digital Picture Frames,1472
79,Northside Boys Girls Toddler/Little Kids/Big Kids Frosty Winter Snow Boot,4.6,19.99,5283,"Clothing, Shoes & Jewelry",Girls,5283
80,"HadinEEon Electric Kettle 1.7L Glass Electric Tea Kettle (BPA Free) Cordless Teapot, Portable Electric Hot Water Kettle…",4.8,37.90,8800,Kitchen & Dining,"Coffee, Tea & Espresso Appliances",8800
81,Logitech C-U0007 Unifying Receiver for Mouse and Keyboard Works with Any Logitech Product That Display The Unifying Logo…,4.1,11.65,4997,Electronics,Networking Products,4997
82,"Hose Clamp, LOKMAN 60 Pieces Stainless Steel Adjustable 6-38mm Range Worm Gear Hose Clamp, Fuel Line Clamp for Plumbing…",4.5,7.89,2751,Industrial & Scientific,"Hydraulics, Pneumatics & Plumbing",2751
83,Fluker's Land Turtle Formula Tortoise Diet,4.3,2.62,1179,Pet Supplies,Reptiles & Amphibians,1179
84,"Quality Park Dab-N-Seal Envelope Moistener with Adhesive, 50ML Bottle, 4 Pack (46071), Clear, 1-Moisteners",4.7,6.11,2069,Office Products,"Envelopes, Mailers & Shipping Supplies",2069
85,"HOMOTEK 12 Pack Black Spring Door Stops,3-1/8"" Heavy Duty Door Stop - Flexible Spring Door Stopper with Low Mounted Baby…",4.7,9.99,1186,Industrial & Scientific,Commercial Door Products,1186
86,"Farberware 3-Piece Bamboo Cutting Board, Set of 3 Assorted Sizes, Brown",4.3,12.99,994,Home & Kitchen,Cutlery & Knife Accessories,994
87,Grout Pen - Designed for Restoring Tile Grout in bathrooms & Kitchens (Cream),4.0,8.99,1316,Tools & Home Improvement,Hardware,1316
88,"Mommy's Helper Outlet Plugs, 36 Count",4.7,4.99,19180,Baby,Safety,19180
89,"Ontel Pillow Pad Multi-Angle Soft Tablet Stand, Blue",4.6,19.88,3418,Electronics,Tablet Accessories,3418
90,"Furinno 3-Tier Open Shelf Bookcase, White",4.3,20.66,16053,Home & Kitchen,Furniture,16053
91,"GEARWRENCH 20 Pc. Ratcheting Wrench Set, SAE/Metric - 35720",4.8,66.64,1846,Industrial & Scientific,Power & Hand Tools,1846
92,"Childom Kids Musical Instruments Musical Instruments Wood Xylophone for Kids Children, Child Wooden Music Shakers…",4.4,21.83,1453,Toys & Games,Musical Instruments,1453
93,40Pcs 1/4”-20 Rivet Nuts Stainless Steel Threaded Insert Nut 1/4-20UNC Nutsert Rivnuts Flat Head Knurled Body,4.7,7.99,735,Industrial & Scientific,Fasteners,735
94,Splat the Cat: I Scream for Ice Cream (I Can Read Level 1),4.8,4.99,1736,Kindle Store,Prime Reading,1736
95,Hanes Women's Scoop-Neck Tank Top,4.1,5.75,3624,"Clothing, Shoes & Jewelry",Novelty & More,3624
96,"20 Pack Wood Mini Chalkboards Signs with Support Easels, Place Cards, Small Rectangle Chalkboards Blackboard for…",4.6,7.35,1799,Office Products,Presentation Boards,1799
97,"Elgato Stream Deck - Live Content Creation Controller with 15 Customizable LCD Keys, Adjustable Stand, for Windows 10…",4.8,144.66,5870,Video Games,PlayStation 4,5870
98,"The Official ACT Prep Guide 2020 - 2021, (Book + 5 Practice Tests + Bonus Online Content)",4.7,21.32,1185,Books,Test Preparation,1185
99,Fallen,4.8,9.38,3828,CDs & Vinyl,Rap & Hip-Hop,3828
100,"PDP 048-082-NA-BL Wired Controller for Xbox One, Xbox One X and Xbox One S, Midnight Blue",4.1,24.99,17291,Video Games,Xbox One,17291
101,NGK 7090 BKR5EGP G-Power Spark Plug (Pack of 1),4.7,4.72,2679,Automotive,Performance Parts & Accessories,2679
102,"Julk Series 3 38mm Case for Apple Watch Screen Protector, iWatch Overall Protective Case TPU HD Clear Ultra-Thin Cover…",4.2,6.99,32593,Electronics,Wearable Technology,32593
103,"FreshJax Premium Gourmet Spices and Seasonings, Grill Accessories Gift Box, Organic All-Star Barbecue (5 Pack)",4.7,24.99,3174,Grocery & Gourmet Food,Food & Beverage Gifts,3174
104,"Black Cocktail Shaker Set Bartender Kit by BARILLIO: 24 oz Stainless Steel Martini Mixer, Muddler, Mixing Spoon, jigger…",4.7,19.97,4245,Kitchen & Dining,Bar Tools & Drinkware,4245
105,"PERFECTAPE Heavy Duty Packing Tape 3 Rolls, Total 180Y, Clear, 2.8 mil, 1.88 inch x 60 Yards, Ultra Strong, Refill for…",4.7,7.48,4782,Office Products,"Envelopes, Mailers & Shipping Supplies",4782
106,"Aqueon Filter Cartridge, Large, 6-Pack",4.8,17.98,2812,Pet Supplies,Fish & Aquatic Pets,2812
107,TAC-FORCE TF606WS Engraved Pocket Knife For Everyday Carry - Perfect Personalized Gift for Him for Christmas- Pocket…,4.8,23.95,683,Handmade Products,Sports & Outdoors,683
108,"Playskool Heroes Marvel Super Hero Adventures Ultimate Super Hero Set, 10 Collectible 2.5-Inch Action Figures, Toys for…",4.8,29.99,2075,Toys & Games,Action & Toy Figures,2075
109,Kasonic 2 in 1 Dual-Use Folding Sheet Music Stand & Desktop Book Stand with Portable Carrying Bag and Music Sheet Clip…,4.6,21.11,882,Musical Instruments,Instrument Accessories,882
110,Hormel® Black Label Fully Cooked Bacon - 9.5oz 72 ct,4.5,23.58,783,Grocery & Gourmet Food,Meat & Seafood,783
111,The Deep End (Diary of a Wimpy Kid Book 15),4.9,9.46,1640,Books,Children's Books,1640
112,Rip Van Wafels Chocolate Brownie Stroopwafels - Healthy Snacks - Non GMO Snack - Keto Friendly - Office Snacks - Low…,4.4,2.99,2864,Grocery & Gourmet Food,Breads & Bakery,2864
113,Just Feed Me: Simply Delicious Recipes from My Heart to Your Plate,4.7,21.99,1536,Books,"Cookbooks, Food & Wine",1536
114,Orbit B-hyve 4-Zone Smart Indoor Sprinkler Controller,4.6,59.30,910,"Patio, Lawn & Garden",Automatic Irrigation Equipment,910
115,TetraFin Balanced Diet Goldfish Flake Food for Optimal Health,4.8,2.49,5365,Pet Supplies,Fish & Aquatic Pets,5365
116,"HAchoo Rustic Mason Jar Decorative Home Decoration Wall Decor - Living Decoration,Vintage Wrought Iron Hooks, Silk…",4.7,19.69,6979,Industrial & Scientific,Industrial Hardware,6979
117,The Dark Side of the Moon,4.8,23.47,4704,CDs & Vinyl,Pop,4704
118,Mini Spy Camera 1080P Hidden Camera | Portable Small HD Nanny Cam with Night Vision and Motion Detection | Perfect…,3.6,29.99,3148,Electronics,Camera & Photo,3148
119,"EXPO 80074 Low-Odor Dry Erase Markers, Chisel Tip, Assorted Colors, 4-Count",4.7,3.79,33894,Office Products,Office Supplies,33894
120,Tab for Gmail,4.1,0.99,1472,Apps & Games,Business,1472
121,"Lodge Pre-Seasoned Cast Iron Reversible Grill/Griddle With Handles, 20 Inch x 10.5 Inch - One tray",4.6,44.90,7665,Home & Kitchen,Cookware,7665
122,"Dr. Scholl's Insoles for Women Extra Support Pain Relief Orthotics Shoe Inserts, Designed for Plus-Size",4.4,12.97,19787,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories",19787
123,AmazonBasics Sketch and Drawing Art Pencil Kit - 17-Piece Set,4.7,7.24,6877,"Arts, Crafts & Sewing","Painting, Drawing & Art Supplies",6877
124,"Brussel's Live Satsuki Azalea Outdoor Bonsai Tree - 5 Years Old; 6"" to 8"" Tall with Decorative Container",3.5,22.62,1518,Grocery & Gourmet Food,Fresh Flowers & Live Indoor Plants,1518
125,"MCHATTE LED Desk Lamp with Wireless Charger, USB Charging Port, Dimmable Eye-Caring Desk Light with 5 Brightness Levels…",4.4,29.88,1499,Office Products,Office Lighting,1499
126,"The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day (The…",4.5,12.68,4634,Books,"Crafts, Hobbies & Home",4634
127,"Exfoliating Brush, Body Brush, Ingrown Hair and Razor Bump Treatment - Eliminate Shaving Irritation for Face, Armpit…",4.3,8.99,6100,Health & Household,Bath & Bathing Accessories,6100
128,The Master Guide to Drawing Anime: How to Draw Original Characters from Simple Templates (Volume 1),4.7,15.12,4387,Books,Arts & Photography,4387
129,"Homz T Leg Ironing Board Holder, Black",4.5,2.99,5178,Home & Kitchen,Irons & Steamers,5178
130,Micro Center 32GB Class 10 Micro SDHC Flash Memory Card with Adapter (2 Pack),4.7,8.98,23396,Electronics,Accessories,23396
131,Slime 20088 4-Way Valve Tool with 4 Valve Cores,4.6,3.29,3991,Automotive,Wheels & Tires,3991
132,Combos Variety Pack Fun Size Baked Snacks 0.93-ounce Bag 12-Count Box,4.7,3.14,9906,Grocery & Gourmet Food,Food & Beverage Gifts,9906
133,"Scotch Thermal Laminating Pouches, 200-Pack, 8.9 x 11.4 Inches, Letter Size Sheets, Clear, 3-Mil (TP3854-200)",4.9,31.94,6096,Office Products,Office Electronics,6096
134,"Benebone Real Bacon Durable Wishbone Dog Chew Toy for Aggressive Chewers, Made in USA",4.5,9.65,19380,Pet Supplies,Dogs,19380
135,Buy What BW-150 150W Car Power Inverter DC 12V to 110V AC Outlet Converter 3.1A Dual USB Car Charger Adapter(Red),4.5,17.99,1254,"Patio, Lawn & Garden",Generators & Portable Power,1254
136,"Snack Pack Chocolate and Vanilla Pudding Cups Family Pack, 12 Count",4.7,2.34,13936,Grocery & Gourmet Food,Pantry Staples,13936
137,"Blue Light Blocking Glasses Square Computer Glasses Women/Men, Nerd Reading Gaming Glasses Non Prescription (Black+Bean…",4.8,11.99,681,Electronics,Tablet Accessories,681
138,Carnival Games Nintendo Switch,4.3,14.99,5601,Electronics,Video Game Consoles & Accessories,5601
139,"ChocZero's Keto Bark, Dark Chocolate Almonds with Sea Salt. Sugar Free, Low Carb. No Sugar Alcohols, No Artificial…",4.6,14.99,8922,Grocery & Gourmet Food,Candy & Chocolate,8922
140,Ukulele Concert Size Bundle From Lohanu (LU-C) 2 Strap Pins Installed FREE Uke Strap Case Tuner Picks Hanger Aquila…,4.7,89.97,5765,Musical Instruments,"Ukuleles, Mandolins & Banjos",5765
141,"My Hero Academia, Vol. 23 (23)",4.9,7.69,2279,Books,Comics & Graphic Novels,2279
142,"Revlon Super Lustrous Lipstick, High Impact Lipcolor with Moisturizing Creamy Formula, Infused with Vitamin E and…",4.4,0.26,16718,Beauty & Personal Care,Makeup,16718
143,The Office: The Complete Series,4.8,49.96,6517,Movies & TV,DVD,6517
144,"Proactiv 3 Step Acne Treatment - Benzoyl Peroxide Face Wash, Repairing Acne Spot Treatment For Face And Body…",4.4,34.95,15360,Beauty & Personal Care,Skin Care,15360
145,Daybreak,4.9,1.99,51704,Movies & TV,Amazon Video,51704
146,Goodbye Yellow Brick Road,4.8,10.91,789,CDs & Vinyl,Classic Rock,789
147,BLACK+DECKER Laser Level (BDL220S),4.3,13.36,2394,Industrial & Scientific,"Test, Measure & Inspect",2394
148,"Battery Tester, VTECHOLOGY Model BT-168 Battery Checker for AA AAA C D 9V 1.5V Button Cell Batteries (Requires No…",4.4,5.99,3579,Tools & Home Improvement,Measuring & Layout Tools,3579
149,Kindle - Now with a Built-in Front Light - Black - Ad-Supported + Kindle Unlimited (with auto-renewal),4.6,89.99,24049,Electronics,eBook Readers & Accessories,24049
150,"SmartBones Stuffed Twistz with Peanut Butter 35 Twistz Total, Rawhide-Free Chews for Dogs Stuffed with Pork Flavor",4.6,6.15,2487,Pet Supplies,Fish & Aquatic Pets,2487
151,"Command Picture Hanging Strips, Medium, Black, 6-Pairs (17204BLK-ES)",4.6,4.55,12069,Tools & Home Improvement,Hardware,12069
152,"Mighty Mint - 16oz Insect and Pest Control Peppermint Oil - Natural Spray for Spiders, Ants, and More - Non Toxic",4.1,18.98,7141,"Patio, Lawn & Garden",Farm & Ranch,7141
153,"Quaker Chewy Granola Bars, Variety Value Pack, 18 Bars",4.7,3.99,11045,Grocery & Gourmet Food,Breakfast Foods,11045
154,The Official Ninja Foodi Digital Air Fry Oven Cookbook: 75 Recipes for Quick and Easy Sheet Pan Meals,4.4,9.99,698,Books,"Cookbooks, Food & Wine",698
155,"Glory Closed Hole C Flute With Case, Tuning Rod and Cloth,Joint Grease and Gloves Nickel Siver-More Colors available…",4.4,78.99,2232,Musical Instruments,Band & Orchestra,2232
156,Bodhi Dog New Grooming Pet Shampoo Brush | Soothing Massage Rubber Bristles Curry Comb for Dogs & Cats Washing…,4.6,8.97,5531,Pet Supplies,Horses,5531
157,AmazonBasics CR1616 Lithium Coin Cell Battery - 2-Pack,4.7,3.51,2750,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories",2750
158,Olsa Tools Magnetic Socket Holder | 1/2-inch Drive | Metric | Black | Holds 19 Sockets | Premium Quality Tools Organizer,4.6,19.99,1768,Tools & Home Improvement,Storage & Home Organization,1768
159,Miele FJM AirClean 3D Efficiency Vacuum Cleaner Bags - Includes 8 Genuine Air clean 2 Genuine Super Air Clean Filter + 2…,4.8,18.49,4187,Home & Kitchen,Vacuums & Floor Care,4187
160,"38 Pack Baby proofing Outlet Plugs, PRObebi No Easy to Remove by Children Keep Prevent Baby from Accidental Shock Hazard",4.6,7.97,3831,Baby,Safety,3831
161,"Dr. Scholl’s Tri-Comfort Insoles // Comfort for Heel, Arch and Ball of Foot with Targeted Cushioning and Arch Support…",4.3,7.97,5056,"Clothing, Shoes & Jewelry","Shoe, Jewelry & Watch Accessories",5056
162,Influencer: Building Your Personal Brand in the Age of Social Media,4.6,9.99,690,Books,Computers & Technology,690
163,"Cookies, Chips & Candies Ultimate Snacks Care Package Bulk Variety Pack Bundle Sampler (50 Count)",4.4,29.99,6366,Grocery & Gourmet Food,Food & Beverage Gifts,6366
164,Brightech Litespan LED Bright Reading and Craft Floor Lamp - Modern Standing Pole Light & Gooseneck - Dimmable…,4.6,44.99,12081,Office Products,Office Lighting,12081
165,"Garsum Sticky Trap,Fruit Fly and Gnat Trap Yellow Sticky Bug Traps for Indoor/Outdoor Use - Insect Catcher for White…",4.5,8.99,7748,"Patio, Lawn & Garden",Farm & Ranch,7748
166,"Pix-Star 10 Inch Wi-Fi Cloud Digital Picture Frame with IPS high resolution display, Email, iPhone iOS and Android app…",4.6,154.99,4890,Electronics,Digital Picture Frames,4890
167,JBL CLIP 3 - Waterproof Portable Bluetooth Speaker - Black,4.7,39.95,14252,Electronics,Home Audio & Theater,14252
168,"DecoBros Supreme Over The Door 11 Hook Organizer Rack, Chrome Finish",4.6,12.97,5577,Industrial & Scientific,Industrial Hardware,5577
169,Arm & Hammer Super Washing Soda 55 oz.,4.8,4.12,8433,Home & Kitchen,Cleaning Supplies,8433
170,"ChocZero's Maple Syrup. Sugar free, Low Carb, Sugar Alcohol free, Gluten Free, No preservatives, Non-GMO. Dessert and…",4.5,9.73,8754,Grocery & Gourmet Food,Breakfast Foods,8754
171,"Pull-Ups New Leaf Boys' Training Pants, 2T-3T, 18 Ct",4.7,8.79,836,Baby,Potty Training,836
